Unnamed: 0,Title,Organization,Skills,Ratings,Review counts,Metadata,input_text,target_text
442,"Sequences, Time Series and Prediction",DeepLearning.AI," Machine Learning, Forecasting, Tensorflow, Applied Machine Learning, Deep Learning, Artificial Neural Networks, Human Learning, Data Visualization, Machine Learning Algorithms, Statistical Analysis",4.7,4.7(4.9K reviews),Intermediate · Course · 1 - 4 Weeks,"Course skills:  Machine Learning, Forecasting, Tensorflow, Applied Machine Learning, Deep Learning, Artificial Neural Networks, Human Learning, Data Visualization, Machine Learning Algorithms, Statistical Analysis","Course title: Sequences, Time Series and Prediction"
471,Statistics for Genomic Data Science,Johns Hopkins University," Bioinformatics, General Statistics, R Programming, Statistical Analysis, Statistical Tests, Biostatistics, Data Analysis, Probability & Statistics, Correlation And Dependence, Statistical Programming",4.2,4.2(350 reviews),Mixed · Course · 1 - 4 Weeks,"Course skills:  Bioinformatics, General Statistics, R Programming, Statistical Analysis, Statistical Tests, Biostatistics, Data Analysis, Probability & Statistics, Correlation And Dependence, Statistical Programming",Course title: Statistics for Genomic Data Science
33,Business Intelligence (BI) Analyst,IBM," Data Management, Databases, SQL, Data Visualization, Database Administration, Database Application, Database Design, Microsoft Excel, Data Structures, Data Architecture, Database Theory, Spreadsheet Software, Data Model, Data Warehousing, Python Programming, Computer Programming, Data Analysis, NoSQL, PostgreSQL, Professional Development, Plot (Graphics), Business Analysis, Statistical Visualization, Data Mining, Data Science, Data Visualization Software, R Programming, Business Intelligence, Forecasting, Interactive Data Visualization, Statistical Analysis",4.7,4.7(9.6K reviews),Beginner · Professional Certificate · 3 - 6 Months,"Course skills:  Data Management, Databases, SQL, Data Visualization, Database Administration, Database Application, Database Design, Microsoft Excel, Data Structures, Data Architecture, Database Theory, Spreadsheet Software, Data Model, Data Warehousing, Python Programming, Computer Programming, Data Analysis, NoSQL, PostgreSQL, Professional Development, Plot (Graphics), Business Analysis, Statistical Visualization, Data Mining, Data Science, Data Visualization Software, R Programming, Business Intelligence, Forecasting, Interactive Data Visualization, Statistical Analysis",Course title: Business Intelligence (BI) Analyst
0,Google Cybersecurity,Google," Network Security, Python Programming, Linux, Cloud Computing, Algorithms, Audit, Computer Programming, Computer Security Incident Management, Cryptography, Databases, Leadership and Management, Network Architecture, Risk Management, SQL",4.8,4.8(20K reviews),Beginner · Professional Certificate · 3 - 6 Months,"Course skills:  Network Security, Python Programming, Linux, Cloud Computing, Algorithms, Audit, Computer Programming, Computer Security Incident Management, Cryptography, Databases, Leadership and Management, Network Architecture, Risk Management, SQL",Course title: Google Cybersecurity
730,Cybersecurity and Mobility,University System of Georgia," Mobile Security, Security Engineering, Strategy, Mobile Development, Software Security, System Security, Business Intelligence, Human Computer Interaction, Leadership and Management, Security Strategy, Internet Of Things",4.5,4.5(611 reviews),Beginner · Course · 1 - 4 Weeks,"Course skills:  Mobile Security, Security Engineering, Strategy, Mobile Development, Software Security, System Security, Business Intelligence, Human Computer Interaction, Leadership and Management, Security Strategy, Internet Of Things",Course title: Cybersecurity and Mobility
433,Computational Neuroscience,University of Washington," Mathematics, Computer Programming, Mathematical Theory & Analysis, Probability & Statistics, Python Programming, Computational Logic, Data Analysis, Artificial Neural Networks, Linear Algebra, Machine Learning, Human Learning",4.6,4.6(1K reviews),Beginner · Course · 1 - 3 Months,"Course skills:  Mathematics, Computer Programming, Mathematical Theory & Analysis, Probability & Statistics, Python Programming, Computational Logic, Data Analysis, Artificial Neural Networks, Linear Algebra, Machine Learning, Human Learning",Course title: Computational Neuroscience
423,Introduction to Clinical Data Science,University of Colorado System," Clinical Data Management, Data Analysis, Data Management, Data Analysis Software, Databases, Leadership and Management, SQL",4.6,4.6(387 reviews),Intermediate · Course · 1 - 4 Weeks,"Course skills:  Clinical Data Management, Data Analysis, Data Management, Data Analysis Software, Databases, Leadership and Management, SQL",Course title: Introduction to Clinical Data Science
371,Expressway to Data Science: Essential Math,University of Colorado Boulder," Mathematics, Algebra, Calculus, Linear Algebra, Mathematical Theory & Analysis, Differential Equations, Plot (Graphics), Problem Solving, Applied Mathematics, Graph Theory",4.5,4.5(325 reviews),Intermediate · Specialization · 3 - 6 Months,"Course skills:  Mathematics, Algebra, Calculus, Linear Algebra, Mathematical Theory & Analysis, Differential Equations, Plot (Graphics), Problem Solving, Applied Mathematics, Graph Theory",Course title: Expressway to Data Science: Essential Math
508,Computer Communications,University of Colorado System," Computer Networking, Network Model, Network Security, Network Architecture, Networking Hardware, Communication, Computer Architecture, Network Analysis, Theoretical Computer Science, Account Management, Software-Defined Networking, Leadership and Management, Back-End Web Development, Computer Graphics, Internet Of Things, Operational Analysis, Scrum (Software Development), Visualization (Computer Graphics), Accounts Payable and Receivable, Algorithms, Organizational Development",4.6,4.6(3.1K reviews),Intermediate · Specialization · 3 - 6 Months,"Course skills:  Computer Networking, Network Model, Network Security, Network Architecture, Networking Hardware, Communication, Computer Architecture, Network Analysis, Theoretical Computer Science, Account Management, Software-Defined Networking, Leadership and Management, Back-End Web Development, Computer Graphics, Internet Of Things, Operational Analysis, Scrum (Software Development), Visualization (Computer Graphics), Accounts Payable and Receivable, Algorithms, Organizational Development",Course title: Computer Communications
271,Convolutional Neural Networks in TensorFlow,DeepLearning.AI," Machine Learning, Deep Learning, Machine Learning Algorithms, Applied Machine Learning, Artificial Neural Networks, Computer Vision, Human Learning, Tensorflow, Python Programming, Machine Learning Software",4.7,4.7(8K reviews),Intermediate · Course · 1 - 4 Weeks,"Course skills:  Machine Learning, Deep Learning, Machine Learning Algorithms, Applied Machine Learning, Artificial Neural Networks, Computer Vision, Human Learning, Tensorflow, Python Programming, Machine Learning Software",Course title: Convolutional Neural Networks in TensorFlow
22,IBM Data Analytics with Excel and R,IBM," Data Analysis, R Programming, Computer Programming, Data Visualization, Data Management, Statistical Programming, Databases, Plot (Graphics), Exploratory Data Analysis, Statistical Visualization, Data Analysis Software, Data Structures, Statistical Analysis, Microsoft Excel, SQL, Basic Descriptive Statistics, General Statistics, Interactive Data Visualization, Database Application, Extract, Transform, Load, Spreadsheet Software, Visualization (Computer Graphics), Programming Principles, Regression, Database Administration, Database Design, Database Theory, Computer Programming Tools, Data Mining, Data Visualization Software, Statistical Machine Learning, Visual Design, Probability & Statistics, System Programming, Business Analysis, Python Programming, Data Science, NoSQL",4.7,4.7(20K reviews),Beginner · Professional Certificate · 3 - 6 Months,"Course skills:  Data Analysis, R Programming, Computer Programming, Data Visualization, Data Management, Statistical Programming, Databases, Plot (Graphics), Exploratory Data Analysis, Statistical Visualization, Data Analysis Software, Data Structures, Statistical Analysis, Microsoft Excel, SQL, Basic Descriptive Statistics, General Statistics, Interactive Data Visualization, Database Application, Extract, Transform, Load, Spreadsheet Software, Visualization (Computer Graphics), Programming Principles, Regression, Database Administration, Database Design, Database Theory, Computer Programming Tools, Data Mining, Data Visualization Software, Statistical Machine Learning, Visual Design, Probability & Statistics, System Programming, Business Analysis, Python Programming, Data Science, NoSQL",Course title: IBM Data Analytics with Excel and R
696,Finding Your Professional Voice: Confidence & Impact,University of London, Communication,4.7,4.7(291 reviews),Beginner · Course · 1 - 4 Weeks,Course skills:  Communication,Course title: Finding Your Professional Voice: Confidence & Impact
116,Leadership Skills,IIMA - IIM Ahmedabad," Communication, Leadership and Management, People Management",4.8,4.8(958 reviews),Beginner · Course · 1 - 3 Months,"Course skills:  Communication, Leadership and Management, People Management",Course title: Leadership Skills
89,Financial Markets,Yale University," Finance, Investment Management, Risk Management, Banking, Behavioral Economics, Critical Thinking, Decision Making, Financial Analysis, Innovation, Regulations and Compliance, Leadership and Management",4.8,4.8(26K reviews),Beginner · Course · 1 - 3 Months,"Course skills:  Finance, Investment Management, Risk Management, Banking, Behavioral Economics, Critical Thinking, Decision Making, Financial Analysis, Innovation, Regulations and Compliance, Leadership and Management",Course title: Financial Markets
182,People and Soft Skills for Professional and Personal Success,IBM," Leadership and Management, Communication, Problem Solving, Critical Thinking, Planning, Professional Development, Collaboration, People Management, Conflict Management",4.6,4.6(708 reviews),Beginner · Specialization · 1 - 3 Months,"Course skills:  Leadership and Management, Communication, Problem Solving, Critical Thinking, Planning, Professional Development, Collaboration, People Management, Conflict Management",Course title: People and Soft Skills for Professional and Personal Success
682,"Information Systems Auditing, Controls and Assurance",The Hong Kong University of Science and Technology," Security Engineering, Strategy and Operations, Change Management, Audit, Leadership and Management, Risk Management",4.7,4.7(3.2K reviews),Beginner · Course · 1 - 4 Weeks,"Course skills:  Security Engineering, Strategy and Operations, Change Management, Audit, Leadership and Management, Risk Management","Course title: Information Systems Auditing, Controls and Assurance"
