{'loss': 2.0133, 'grad_norm': 8.969599723815918, 'learning_rate': 4.8949579831932775e-05, 'epoch': 1.47}
{'loss': 1.5174, 'grad_norm': 7.2259039878845215, 'learning_rate': 4.7899159663865554e-05, 'epoch': 2.94}
{'loss': 1.3497, 'grad_norm': 8.348797798156738, 'learning_rate': 4.684873949579832e-05, 'epoch': 4.41}
{'loss': 1.2562, 'grad_norm': 7.4275288581848145, 'learning_rate': 4.579831932773109e-05, 'epoch': 5.88}
{'loss': 1.166, 'grad_norm': 9.509952545166016, 'learning_rate': 4.474789915966387e-05, 'epoch': 7.35}
{'loss': 1.0886, 'grad_norm': 8.298806190490723, 'learning_rate': 4.369747899159664e-05, 'epoch': 8.82}
{'loss': 1.0096, 'grad_norm': 8.219958305358887, 'learning_rate': 4.2647058823529415e-05, 'epoch': 10.29}
{'loss': 0.9418, 'grad_norm': 8.349778175354004, 'learning_rate': 4.159663865546219e-05, 'epoch': 11.76}
{'loss': 0.8713, 'grad_norm': 6.423616886138916, 'learning_rate': 4.054621848739496e-05, 'epoch': 13.24}
{'loss': 0.8177, 'grad_norm': 7.23958683013916, 'learning_rate': 3.949579831932773e-05, 'epoch': 14.71}
{'loss': 0.7723, 'grad_norm': 6.3232598304748535, 'learning_rate': 3.844537815126051e-05, 'epoch': 16.18}
{'loss': 0.7087, 'grad_norm': 5.3862528800964355, 'learning_rate': 3.739495798319328e-05, 'epoch': 17.65}
{'loss': 0.6709, 'grad_norm': 5.158699035644531, 'learning_rate': 3.634453781512605e-05, 'epoch': 19.12}
{'loss': 0.6145, 'grad_norm': 5.780084133148193, 'learning_rate': 3.529411764705883e-05, 'epoch': 20.59}
{'loss': 0.5749, 'grad_norm': 5.58472204208374, 'learning_rate': 3.42436974789916e-05, 'epoch': 22.06}
{'loss': 0.5192, 'grad_norm': 4.83018684387207, 'learning_rate': 3.319327731092437e-05, 'epoch': 23.53}
{'loss': 0.496, 'grad_norm': 8.93030834197998, 'learning_rate': 3.2142857142857144e-05, 'epoch': 25.0}
{'loss': 0.4371, 'grad_norm': 5.0843892097473145, 'learning_rate': 3.1092436974789916e-05, 'epoch': 26.47}
{'loss': 0.4093, 'grad_norm': 5.438584804534912, 'learning_rate': 3.004201680672269e-05, 'epoch': 27.94}
{'loss': 0.3675, 'grad_norm': 4.056764125823975, 'learning_rate': 2.8991596638655467e-05, 'epoch': 29.41}
{'loss': 0.3408, 'grad_norm': 3.5646355152130127, 'learning_rate': 2.7941176470588236e-05, 'epoch': 30.88}
{'loss': 0.3089, 'grad_norm': 3.9016807079315186, 'learning_rate': 2.689075630252101e-05, 'epoch': 32.35}
{'loss': 0.2933, 'grad_norm': 3.5030195713043213, 'learning_rate': 2.5840336134453784e-05, 'epoch': 33.82}
{'loss': 0.2606, 'grad_norm': 3.669421434402466, 'learning_rate': 2.4789915966386556e-05, 'epoch': 35.29}
{'loss': 0.246, 'grad_norm': 3.026813268661499, 'learning_rate': 2.373949579831933e-05, 'epoch': 36.76}
{'loss': 0.228, 'grad_norm': 2.8128278255462646, 'learning_rate': 2.26890756302521e-05, 'epoch': 38.24}
{'loss': 0.2064, 'grad_norm': 3.6171202659606934, 'learning_rate': 2.1638655462184876e-05, 'epoch': 39.71}
{'loss': 0.1992, 'grad_norm': 3.2527925968170166, 'learning_rate': 2.058823529411765e-05, 'epoch': 41.18}
{'loss': 0.1822, 'grad_norm': 2.954103946685791, 'learning_rate': 1.953781512605042e-05, 'epoch': 42.65}
{'loss': 0.1747, 'grad_norm': 2.136333465576172, 'learning_rate': 1.8487394957983196e-05, 'epoch': 44.12}
{'loss': 0.1609, 'grad_norm': 2.9366705417633057, 'learning_rate': 1.7436974789915965e-05, 'epoch': 45.59}
{'loss': 0.153, 'grad_norm': 2.4456186294555664, 'learning_rate': 1.638655462184874e-05, 'epoch': 47.06}
{'loss': 0.1487, 'grad_norm': 2.2996160984039307, 'learning_rate': 1.5336134453781513e-05, 'epoch': 48.53}
{'loss': 0.1387, 'grad_norm': 2.8143792152404785, 'learning_rate': 1.4285714285714285e-05, 'epoch': 50.0}
{'loss': 0.1319, 'grad_norm': 2.3990676403045654, 'learning_rate': 1.323529411764706e-05, 'epoch': 51.47}
{'loss': 0.1211, 'grad_norm': 2.5594289302825928, 'learning_rate': 1.2184873949579832e-05, 'epoch': 52.94}
{'loss': 0.1201, 'grad_norm': 1.9434069395065308, 'learning_rate': 1.1134453781512606e-05, 'epoch': 54.41}
{'loss': 0.1208, 'grad_norm': 2.2735650539398193, 'learning_rate': 1.008403361344538e-05, 'epoch': 55.88}
{'loss': 0.1123, 'grad_norm': 2.23770809173584, 'learning_rate': 9.033613445378152e-06, 'epoch': 57.35}
{'loss': 0.1086, 'grad_norm': 1.9213805198669434, 'learning_rate': 7.983193277310924e-06, 'epoch': 58.82}
{'loss': 0.1066, 'grad_norm': 2.204608678817749, 'learning_rate': 6.932773109243698e-06, 'epoch': 60.29}
{'loss': 0.1014, 'grad_norm': 2.0054051876068115, 'learning_rate': 5.882352941176471e-06, 'epoch': 61.76}
{'loss': 0.1006, 'grad_norm': 1.763095736503601, 'learning_rate': 4.831932773109244e-06, 'epoch': 63.24}
{'loss': 0.0961, 'grad_norm': 2.3948283195495605, 'learning_rate': 3.7815126050420167e-06, 'epoch': 64.71}
{'loss': 0.0961, 'grad_norm': 1.714733600616455, 'learning_rate': 2.73109243697479e-06, 'epoch': 66.18}
{'loss': 0.0952, 'grad_norm': 2.2554571628570557, 'learning_rate': 1.680672268907563e-06, 'epoch': 67.65}
{'loss': 0.0956, 'grad_norm': 2.0144684314727783, 'learning_rate': 6.302521008403362e-07, 'epoch': 69.12}
